"Sample1","Sample2","Pairwise_SNP_diff","S1","S2","Compare"
"TVY4R1","TVY4R10",528,"R","R","R-R"
"TVY4R1","TVY4R11",552,"R","R","R-R"
"TVY4R10","TVY4R11",578,"R","R","R-R"
"TVY4R1","TVY4R12",591,"R","R","R-R"
"TVY4R10","TVY4R12",613,"R","R","R-R"
"TVY4R11","TVY4R12",637,"R","R","R-R"
"TVY4R1","TVY4R13",514,"R","R","R-R"
"TVY4R10","TVY4R13",602,"R","R","R-R"
"TVY4R11","TVY4R13",608,"R","R","R-R"
"TVY4R12","TVY4R13",657,"R","R","R-R"
"TVY4R1","TVY4R14",495,"R","R","R-R"
"TVY4R10","TVY4R14",559,"R","R","R-R"
"TVY4R11","TVY4R14",591,"R","R","R-R"
"TVY4R12","TVY4R14",524,"R","R","R-R"
"TVY4R13","TVY4R14",577,"R","R","R-R"
"TVY4R1","TVY4R2",518,"R","R","R-R"
"TVY4R10","TVY4R2",588,"R","R","R-R"
"TVY4R11","TVY4R2",628,"R","R","R-R"
"TVY4R12","TVY4R2",597,"R","R","R-R"
"TVY4R13","TVY4R2",534,"R","R","R-R"
"TVY4R14","TVY4R2",589,"R","R","R-R"
"TVY4R1","TVY4R5",478,"R","R","R-R"
"TVY4R10","TVY4R5",604,"R","R","R-R"
"TVY4R11","TVY4R5",592,"R","R","R-R"
"TVY4R12","TVY4R5",627,"R","R","R-R"
"TVY4R13","TVY4R5",550,"R","R","R-R"
"TVY4R14","TVY4R5",597,"R","R","R-R"
"TVY4R2","TVY4R5",554,"R","R","R-R"
"TVY4R1","TVY4R6",545,"R","R","R-R"
"TVY4R10","TVY4R6",561,"R","R","R-R"
"TVY4R11","TVY4R6",541,"R","R","R-R"
"TVY4R12","TVY4R6",606,"R","R","R-R"
"TVY4R13","TVY4R6",525,"R","R","R-R"
"TVY4R14","TVY4R6",518,"R","R","R-R"
"TVY4R2","TVY4R6",589,"R","R","R-R"
"TVY4R5","TVY4R6",563,"R","R","R-R"
"TVY4R1","TVY4R7",601,"R","R","R-R"
"TVY4R10","TVY4R7",581,"R","R","R-R"
"TVY4R11","TVY4R7",609,"R","R","R-R"
"TVY4R12","TVY4R7",586,"R","R","R-R"
"TVY4R13","TVY4R7",681,"R","R","R-R"
"TVY4R14","TVY4R7",626,"R","R","R-R"
"TVY4R2","TVY4R7",563,"R","R","R-R"
"TVY4R5","TVY4R7",555,"R","R","R-R"
"TVY4R6","TVY4R7",642,"R","R","R-R"
"TVY4R1","TVY4R8",522,"R","R","R-R"
"TVY4R10","TVY4R8",572,"R","R","R-R"
"TVY4R11","TVY4R8",534,"R","R","R-R"
"TVY4R12","TVY4R8",645,"R","R","R-R"
"TVY4R13","TVY4R8",556,"R","R","R-R"
"TVY4R14","TVY4R8",613,"R","R","R-R"
"TVY4R2","TVY4R8",532,"R","R","R-R"
"TVY4R5","TVY4R8",512,"R","R","R-R"
"TVY4R6","TVY4R8",521,"R","R","R-R"
"TVY4R7","TVY4R8",705,"R","R","R-R"
"TVY4R1","TVY4V1",517,"R","V","R-V"
"TVY4R10","TVY4V1",595,"R","V","R-V"
"TVY4R11","TVY4V1",635,"R","V","R-V"
