"Sample1","Sample2","Pairwise_SNP_diff","S1","S2","Compare"
"YST6R10","YST6R11",1031,"R","R","R-R"
"YST6R10","YST6R12",965,"R","R","R-R"
"YST6R11","YST6R12",980,"R","R","R-R"
"YST6R10","YST6R15",960,"R","R","R-R"
"YST6R11","YST6R15",981,"R","R","R-R"
"YST6R12","YST6R15",937,"R","R","R-R"
"YST6R10","YST6R2",896,"R","R","R-R"
"YST6R11","YST6R2",1005,"R","R","R-R"
"YST6R12","YST6R2",945,"R","R","R-R"
"YST6R15","YST6R2",942,"R","R","R-R"
"YST6R10","YST6R20",1048,"R","R","R-R"
"YST6R11","YST6R20",713,"R","R","R-R"
"YST6R12","YST6R20",897,"R","R","R-R"
"YST6R15","YST6R20",962,"R","R","R-R"
"YST6R2","YST6R20",858,"R","R","R-R"
"YST6R10","YST6R4",1022,"R","R","R-R"
"YST6R11","YST6R4",809,"R","R","R-R"
"YST6R12","YST6R4",857,"R","R","R-R"
"YST6R15","YST6R4",988,"R","R","R-R"
"YST6R2","YST6R4",870,"R","R","R-R"
"YST6R20","YST6R4",716,"R","R","R-R"
"YST6R10","YST6R5",912,"R","R","R-R"
"YST6R11","YST6R5",919,"R","R","R-R"
"YST6R12","YST6R5",829,"R","R","R-R"
"YST6R15","YST6R5",862,"R","R","R-R"
"YST6R2","YST6R5",882,"R","R","R-R"
"YST6R20","YST6R5",884,"R","R","R-R"
"YST6R4","YST6R5",848,"R","R","R-R"
"YST6R10","YST6R6",952,"R","R","R-R"
"YST6R11","YST6R6",897,"R","R","R-R"
"YST6R12","YST6R6",867,"R","R","R-R"
"YST6R15","YST6R6",1014,"R","R","R-R"
"YST6R2","YST6R6",1012,"R","R","R-R"
"YST6R20","YST6R6",946,"R","R","R-R"
"YST6R4","YST6R6",892,"R","R","R-R"
"YST6R5","YST6R6",968,"R","R","R-R"
"YST6R10","YST6R7",903,"R","R","R-R"
"YST6R11","YST6R7",988,"R","R","R-R"
"YST6R12","YST6R7",1070,"R","R","R-R"
"YST6R15","YST6R7",891,"R","R","R-R"
"YST6R2","YST6R7",957,"R","R","R-R"
"YST6R20","YST6R7",979,"R","R","R-R"
"YST6R4","YST6R7",961,"R","R","R-R"
"YST6R5","YST6R7",927,"R","R","R-R"
"YST6R6","YST6R7",1081,"R","R","R-R"
"YST6R10","YST6R8",954,"R","R","R-R"
"YST6R11","YST6R8",793,"R","R","R-R"
"YST6R12","YST6R8",903,"R","R","R-R"
"YST6R15","YST6R8",938,"R","R","R-R"
"YST6R2","YST6R8",880,"R","R","R-R"
"YST6R20","YST6R8",824,"R","R","R-R"
"YST6R4","YST6R8",900,"R","R","R-R"
"YST6R5","YST6R8",850,"R","R","R-R"
"YST6R6","YST6R8",880,"R","R","R-R"
"YST6R7","YST6R8",1021,"R","R","R-R"
"YST6R10","YST6R9",945,"R","R","R-R"
"YST6R11","YST6R9",880,"R","R","R-R"
"YST6R12","YST6R9",848,"R","R","R-R"
"YST6R15","YST6R9",993,"R","R","R-R"
"YST6R2","YST6R9",903,"R","R","R-R"
"YST6R20","YST6R9",869,"R","R","R-R"
"YST6R4","YST6R9",811,"R","R","R-R"
"YST6R5","YST6R9",889,"R","R","R-R"
"YST6R6","YST6R9",881,"R","R","R-R"
"YST6R7","YST6R9",1060,"R","R","R-R"
"YST6R8","YST6R9",943,"R","R","R-R"
"YST6R10","YST6V1",1022,"R","V","R-V"
"YST6R11","YST6V1",797,"R","V","R-V"
"YST6R12","YST6V1",917,"R","V","R-V"
"YST6R15","YST6V1",922,"R","V","R-V"
"YST6R2","YST6V1",904,"R","V","R-V"
"YST6R20","YST6V1",704,"R","V","R-V"
"YST6R4","YST6V1",808,"R","V","R-V"
"YST6R5","YST6V1",838,"R","V","R-V"
"YST6R6","YST6V1",872,"R","V","R-V"
"YST6R7","YST6V1",1001,"R","V","R-V"
"YST6R8","YST6V1",842,"R","V","R-V"
"YST6R9","YST6V1",893,"R","V","R-V"
"YST6R10","YST6V11",917,"R","V","R-V"
"YST6R11","YST6V11",854,"R","V","R-V"
"YST6R12","YST6V11",904,"R","V","R-V"
"YST6R15","YST6V11",749,"R","V","R-V"
"YST6R2","YST6V11",721,"R","V","R-V"
"YST6R20","YST6V11",749,"R","V","R-V"
"YST6R4","YST6V11",847,"R","V","R-V"
"YST6R5","YST6V11",735,"R","V","R-V"
"YST6R6","YST6V11",941,"R","V","R-V"
"YST6R7","YST6V11",860,"R","V","R-V"
"YST6R8","YST6V11",779,"R","V","R-V"
"YST6R9","YST6V11",890,"R","V","R-V"
"YST6V1","YST6V11",755,"V","V","V-V"
"YST6R10","YST6V13",1127,"R","V","R-V"
"YST6R11","YST6V13",962,"R","V","R-V"
"YST6R12","YST6V13",1002,"R","V","R-V"
"YST6R15","YST6V13",1083,"R","V","R-V"
"YST6R2","YST6V13",1081,"R","V","R-V"
"YST6R20","YST6V13",903,"R","V","R-V"
"YST6R4","YST6V13",977,"R","V","R-V"
"YST6R5","YST6V13",959,"R","V","R-V"
"YST6R6","YST6V13",1039,"R","V","R-V"
"YST6R7","YST6V13",1144,"R","V","R-V"
"YST6R8","YST6V13",983,"R","V","R-V"
"YST6R9","YST6V13",886,"R","V","R-V"
"YST6V1","YST6V13",887,"V","V","V-V"
"YST6V11","YST6V13",926,"V","V","V-V"
"YST6R10","YST6V14",985,"R","V","R-V"
"YST6R11","YST6V14",794,"R","V","R-V"
"YST6R12","YST6V14",896,"R","V","R-V"
"YST6R15","YST6V14",981,"R","V","R-V"
"YST6R2","YST6V14",943,"R","V","R-V"
"YST6R20","YST6V14",899,"R","V","R-V"
