Well,Strain,Place,Replicate
A1,YST6,R,1
A2,YST6,R,2
A3,YST6,R,3
A4,YST6,R,4
A5,YST6,R,5
A6,YST6,R,6
A7,YST6,R,7
A8,YST6,R,8
A9,YST6,R,9
A10,YST6,R,10
A11,YST6,R,11
A12,YST6,R,12
B1,YST6,R,7
B2,YST6,R,8
B3,YST6,R,9
B4,YST6,R,10
B5,YST6,R,11
B6,YST6,R,12
B7,YST6,R,1
B8,YST6,R,2
B9,YST6,R,3
B10,YST6,R,4
B11,YST6,R,5
B12,YST6,R,6
C1,YST6,V,1
C2,YST6,V,2
C3,YST6,V,3
C4,YST6,V,4
C5,YST6,V,5
C6,YST6,V,6
C7,YST6,V,7
C8,YST6,V,8
C9,YST6,V,9
C10,YST6,V,10
C11,YST6,V,11
C12,YST6,V,12
D1,YST6,V,7
D2,YST6,V,8
D3,YST6,V,9
D4,YST6,V,10
D5,YST6,V,11
D6,YST6,V,12
D7,YST6,V,1
D8,YST6,V,2
D9,YST6,V,3
D10,YST6,V,4
D11,YST6,V,5
D12,YST6,V,6
E1,YST7,R,1
E2,YST7,R,2
E3,YST7,R,3
E4,YST7,R,4
E5,YST7,R,5
E6,YST7,R,6
E7,YST7,R,7
E8,YST7,R,8
E9,YST7,R,9
E10,YST7,R,10
E11,YST7,R,11
E12,YST7,R,12
F1,YST7,R,7
F2,YST7,R,8
F3,YST7,R,9
F4,YST7,R,10
F5,YST7,R,11
F6,YST7,R,12
F7,YST7,R,1
F8,YST7,R,2
F9,YST7,R,3
F10,YST7,R,4
F11,YST7,R,5
F12,YST7,R,6
G1,YST7,V,1
G2,YST7,V,2
G3,YST7,V,3
G4,YST7,V,4
G5,YST7,V,5
G6,YST7,V,6
G7,YST7,V,7
G8,YST7,V,8
G9,YST7,V,9
G10,YST7,V,10
G11,YST7,V,11
G12,YST7,V,12
H1,YST7,V,7
H2,YST7,V,8
H3,YST7,V,9
H4,YST7,V,10
H5,YST7,V,11
H6,YST7,V,12
H7,YST7,V,1
H8,YST7,V,2
H9,YST7,V,3
H10,YST7,V,4
H11,YST7,V,5
H12,YST7,V,6
