Well,Strain,Place,Replicate
A1,YST6,R,37
A2,YST6,R,38
A3,YST6,R,39
A4,YST6,R,40
A5,YST6,R,41
A6,YST6,R,42
A7,YST6,R,43
A8,YST6,R,44
A9,YST6,R,45
A10,YST6,R,46
A11,YST6,R,47
A12,YST6,R,48
B1,YST6,R,43
B2,YST6,R,44
B3,YST6,R,45
B4,YST6,R,46
B5,YST6,R,47
B6,YST6,R,48
B7,YST6,R,37
B8,YST6,R,38
B9,YST6,R,39
B10,YST6,R,40
B11,YST6,R,41
B12,YST6,R,42
C1,YST6,V,37
C2,YST6,V,38
C3,YST6,V,39
C4,YST6,V,40
C5,YST6,V,41
C6,YST6,V,42
C7,YST6,V,43
C8,YST6,V,44
C9,YST6,V,45
C10,YST6,V,46
C11,YST6,V,47
C12,YST6,V,48
D1,YST6,V,43
D2,YST6,V,44
D3,YST6,V,45
D4,YST6,V,46
D5,YST6,V,47
D6,YST6,V,48
D7,YST6,V,37
D8,YST6,V,38
D9,YST6,V,39
D10,YST6,V,40
D11,YST6,V,41
D12,YST6,V,42
E1,YST7,R,37
E2,YST7,R,38
E3,YST7,R,39
E4,YST7,R,40
E5,YST7,R,41
E6,YST7,R,42
E7,YST7,R,43
E8,YST7,R,44
E9,YST7,R,45
E10,YST7,R,46
E11,YST7,R,47
E12,YST7,R,48
F1,YST7,R,43
F2,YST7,R,44
F3,YST7,R,45
F4,YST7,R,46
F5,YST7,R,47
F6,YST7,R,48
F7,YST7,R,37
F8,YST7,R,38
F9,YST7,R,39
F10,YST7,R,40
F11,YST7,R,41
F12,YST7,R,42
G1,YST7,V,37
G2,YST7,V,38
G3,YST7,V,39
G4,YST7,V,40
G5,YST7,V,41
G6,YST7,V,42
G7,YST7,V,43
G8,YST7,V,44
G9,YST7,V,45
G10,YST7,V,46
G11,YST7,V,47
G12,YST7,V,48
H1,YST7,R,43
H2,YST7,R,44
H3,YST7,R,45
H4,YST7,R,46
H5,YST7,R,47
H6,YST7,R,48
H7,YST7,R,37
H8,YST7,R,38
H9,YST7,R,39
H10,YST7,R,40
H11,YST7,R,41
H12,YST7,R,42
